Taxa	trait1	trait2	trait3	trait4	trait5	trait6
18_22	0.003277722	-0.725808414	-3.962912159	-1849.526329	-13.1391788	-229.826372
18_23	-0.003279277	-6.681184884	6.523046334	-1267.105988	4.728056071	-127.6634128
18_24	-0.007067224	-2.679390186	0.466626065	44.61772843	-4.348684034	-110.1598324
18_25	-0.010582324	1.729376523	5.066806156	-521.5946121	-8.661710584	-183.683524
18_26	-0.019179286	7.375895485	1.141193424	197.9905794	3.582182153	-205.5151888
18_27	-0.018118993	8.098111152	3.222982338	-485.2944413	2.576314269	-122.6599958
18_28	-0.003324623	1.650943373	5.304460633	-960.7673707	-4.179867013	-196.1644623
18_29	0.016351175	-1.82008787	-2.419095522	-1302.824406	1.536431609	-62.79022021
18_30	0.016764196	-2.745645005	-5.136132522	-536.0561183	-12.72277895	-218.2424926
18_31	-0.015668149	3.132588153	0.099100101	-612.7685679	9.103810246	-249.3016205
18_32	0.001511547	5.211816149	3.52887257	-1109.803205	5.488235451	-187.3919045
18_33	-0.001035422	5.131005547	2.196682717	-1471.810676	10.17688517	-195.0690789
26_1	0.008392353	5.111666252	4.166754885	-589.2349922	10.22898011	32.6644607
26_2	0.01246015	-0.527808876	4.461400402	-498.9688357	7.449672204	-24.56405441
26_3	-0.004224291	2.513131468	1.294791041	609.2490528	5.302587462	-61.27642481
26_4	0.019111617	1.309423682	8.469540388	930.985171	3.306739034	-72.3401247
26_5	0.023291435	-4.697497963	6.475218378	95.41712975	-0.2917673	-128.924525
26_6	0.006237953	3.543802378	-3.902896283	114.2845686	-7.752173864	2.855388868
26_7	-0.014643521	-9.381365809	7.793844995	-957.517259	5.505195075	3.927596883
26_8	0.015613648	-3.328455394	6.669611539	177.7637938	6.212301877	98.17181499
26_9	-0.000434558	6.492284353	3.058765597	-819.2204142	2.870834797	-31.86388434
26_10	0.019378917	0.524716145	0.445593896	428.096452	5.336517951	31.12869161
26_11	0.016390961	0.718193957	-3.502438935	618.6705474	-7.53445458	-53.3224442
26_12	0.024171818	3.800047973	4.339744806	-661.7971005	14.37732827	-32.01293792
26_13	0.008174987	3.720618746	3.495725494	206.7327981	2.504631895	-104.1286666
26_14	0.016681787	3.195004467	6.45082267	-756.1030549	0.236583817	-15.0107319
26_15	0.021045635	2.499480712	1.888621552	80.95791336	6.870780296	-46.71594508
26_16	0.016291624	4.154371393	6.198913768	-178.2855076	3.145321058	13.86218005
26_17	0.024017823	-3.350654542	-1.808835763	-1025.715839	3.650132602	-1.343764307
26_18	0.012933628	0.068255671	0.60083318	-771.7022721	5.92015804	-114.4155832
26_19	0.003613383	-3.607590827	3.265915695	93.17435992	6.264419112	66.04179415
26_20	0.006893901	-8.584004585	0.91326604	136.46618	7.933394066	5.93915987
26_21	0.03611365	2.064346684	6.00168367	421.8264419	6.420299237	-108.3059752
26_22	-0.008174216	-2.660231732	1.628021567	186.7218688	3.379014914	-31.57846258
26_23	-0.012029091	0.884082299	3.473185329	243.7212254	9.100734563	-45.76827183
26_24	-0.008367704	4.318670639	4.232475943	158.1762017	10.90122183	132.925465
26_25	0.011119156	0.459185605	3.08497241	-1267.163892	1.79271402	-33.17379584
26_26	0.004106423	0.952007727	-2.09102289	-184.2896957	6.957266213	2.618078048
26_27	0.001077349	-2.993688282	7.467648415	-746.8540454	10.56502361	-46.33729493
26_28	0.012350326	0.261648571	5.378503099	-313.5837565	8.149803265	-67.06469651
26_29	0.019452567	-0.766096561	5.368543416	901.4556282	6.186700731	-0.214221118
26_30	0.006601178	-2.137804778	-4.671827472	1121.98118	6.670060253	-18.13244487
26_31	0.003216704	1.16852314	2.005160005	148.6174906	-4.763928752	198.1752231
26_32	0.002398876	2.6251861	6.77515257	729.0544986	10.1324477	-14.87622814
